,user,text,favorite_count,retweet_count,created_at
127,elonmusk,Please comment on this matter https://t.co/Oip43FcVo2,53744,7324,2023-01-04 00:36:33+00:00
128,elonmusk,@DriveTeslaca @Tesla Good news,38436,1332,2023-01-04 00:13:08+00:00
129,elonmusk,"US govt agency demanded suspension of 250k accounts, including journalists &amp; Canadian officials! https://t.co/kcEMMCzF7d",150063,44139,2023-01-03 23:42:11+00:00
130,elonmusk,"@sparklingruby If you leave out contact information &amp; names of junior employees, then yes",18667,1064,2023-01-03 23:27:59+00:00
131,elonmusk,@jordanbpeterson @CPOntario Please live-stream this on Twitter Spaces,40923,3192,2023-01-03 23:25:04+00:00
132,elonmusk,@waitbutwhy Would be worth it to see the video lulz,10522,443,2023-01-03 23:22:58+00:00
133,elonmusk,https://t.co/dJvUeO2P5t,426825,62610,2023-01-03 23:21:23+00:00
134,elonmusk,"@mtaibbi Hey @RepAdamSchiff, what’s this?",68039,14218,2023-01-03 23:07:37+00:00
135,elonmusk,@MarioFratto @jordanbpeterson @CPOntario @PierrePoilievre @JustinTrudeau Sounds like it,11347,637,2023-01-03 20:37:51+00:00
136,elonmusk,Another episode of The Twitter Files https://t.co/vYpYivK7hv,108404,23455,2023-01-03 20:37:23+00:00
137,elonmusk,@jordanbpeterson That is extremely concerning!,52599,3805,2023-01-03 20:23:05+00:00
138,elonmusk,@ShellenbergerMD Ehrlich is mad as a hatter. He is someone who regards humanity as bad in and of itself – anti-human to the core.,15928,2223,2023-01-03 19:53:26+00:00
139,elonmusk,@teslaownersSV @DrKnowItAll16 @Tesla @POTUS @UAW Correct,5563,371,2023-01-03 18:49:20+00:00
140,elonmusk,@mikeduncan Feels like we are at an inflection point,19166,998,2023-01-03 18:48:57+00:00
141,elonmusk,@jordanbpeterson @CPOntario @PierrePoilievre @JustinTrudeau !!,44825,2903,2023-01-03 18:22:03+00:00
142,elonmusk,@farzyness Messed up!,43100,1809,2023-01-03 16:25:33+00:00
143,elonmusk,@SciGuySpace Shelby did his best to hold back SpaceX,5804,449,2023-01-03 15:53:18+00:00
144,elonmusk,@DrKnowItAll16 @Tesla Penalized for making our SUV too mass-efficient? That is bizarre.,57514,2877,2023-01-03 05:04:46+00:00
145,elonmusk,@BillyM2k maybe … maybe we do? 🤔,48550,1784,2023-01-03 04:48:01+00:00
146,elonmusk,@jgebbia But how do they earn a profit? Volume.,3461,197,2023-01-03 02:18:46+00:00
147,elonmusk,@JackPosobiec Looking into it,46624,1972,2023-01-03 02:14:14+00:00
148,elonmusk,@jgebbia Bank branches &amp; ATMs too,3624,350,2023-01-03 00:21:02+00:00
149,elonmusk,@ShellenbergerMD @ScottPelley @PaulREhrlich Absolutely,26550,1517,2023-01-02 23:49:59+00:00
150,elonmusk,@AlexEpstein @ScottAdamsSays @60Minutes @ShellenbergerMD @BjornLomborg @BrianGitt @HumanProgress @RitaPanahi @jordanbpeterson Ehrlich despises humanity. Nothing he says should be given the slightest credibility.,74801,7817,2023-01-02 16:43:45+00:00
151,elonmusk,@jordanbpeterson His “Population Bomb” book might the most damaging anti-human thing ever written,69179,6709,2023-01-02 06:04:49+00:00
152,elonmusk,@stillgray Mostly accurate tbh,63163,2788,2023-01-02 05:25:38+00:00
153,elonmusk,@libsoftiktok 🧐,35805,1666,2023-01-02 03:31:11+00:00
154,elonmusk,@pmarca 🤣🤣,38089,1255,2023-01-02 03:11:08+00:00
155,elonmusk,"@willdepue lol, but maybe",6219,265,2023-01-02 03:05:31+00:00
156,elonmusk,@gdb Yikes,11862,440,2023-01-01 22:37:51+00:00
157,elonmusk,@atensnut Later this week,48041,4394,2023-01-01 22:26:09+00:00
158,elonmusk,@TheRabbitHole84 Concerning,33626,2073,2023-01-01 21:55:46+00:00
159,elonmusk,@TomFitton @CDCgov The CDC?,29604,2941,2023-01-01 20:46:27+00:00
160,elonmusk,@catturd2 Hey!,87361,2218,2023-01-01 20:42:34+00:00
161,elonmusk,@stillgray Nice,17318,522,2023-01-01 20:30:48+00:00
162,elonmusk,@farzyness @MartinViecha @Sen_JoeManchin @POTUS This is messed up,46099,2484,2023-01-01 20:29:37+00:00
163,elonmusk,@AOC 👋,20882,643,2023-01-01 20:28:43+00:00
164,elonmusk,"@jordanbpeterson Not sure, but after watching some of his talks online, he would not be an obvious choice to play the protagonist in a movie",38226,2552,2023-01-01 20:13:27+00:00
165,elonmusk,@alifarhat79 🤷‍♂️,102979,2092,2023-01-01 20:04:57+00:00
166,elonmusk,@lexfridman Good list,23273,688,2023-01-01 19:37:35+00:00
167,elonmusk,@BriannaWu Thanks for paying me $8,106176,4654,2023-01-01 19:34:42+00:00
168,elonmusk,"@grizzzmint @TheRabbitHole84 Which is, ironically, obviously super racist!",8611,554,2023-01-01 19:33:38+00:00
169,elonmusk,@cb_doge @mayemusk 🤣,27464,667,2023-01-01 19:29:30+00:00
170,elonmusk,@robinmonotti !!,36362,2686,2023-01-01 19:26:19+00:00
171,elonmusk,"Hope you’re having a great day 1 2023!

One thing’s for sure, it won’t be boring.",614838,45335,2023-01-01 19:25:38+00:00
172,elonmusk,"@WholeMarsBlog Agreed, update coming in Jan",20253,813,2022-12-31 22:19:51+00:00
173,elonmusk,@jpr007 I’d like to thank the people of Norway again for their incredible support of electric vehicles. Norway rocks!! 🇳🇴,52255,2079,2022-12-31 22:15:41+00:00
174,elonmusk,"@ScottAdamsSays @Mediaite Yeah, this is silly. I love your work!",21919,993,2022-12-31 22:10:36+00:00
175,elonmusk,"@TimRunsHisMouth @ZaleskiLuke Exactly! I am obviously “moderate wing”, except as viewed by the far left.",24961,1568,2022-12-31 22:09:21+00:00
176,elonmusk,@pmarca Piketty is a misanthrope,18608,1010,2022-12-31 21:41:42+00:00
177,elonmusk,@drefanzor @oadegbolamdphd @fahmialalam On the list,6105,302,2022-12-31 18:34:13+00:00
178,elonmusk,Sometimes it’s just better to make pizza at home,757790,46068,2022-12-31 18:26:16+00:00
